Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory
mix_1	0.000646404745863291	0	0	0.000384721376739676	1.66003511778422e-05	0	0.000702027418653084	0	0.000112836168439238	0	0	0	0.000143222377380094	0.00150344584394382	0.00103468465418273	0.0011506645195833	0	0.000469581056057816	0.000510982464033644	0.000552889500464913	0	0.000484552032781662	0	0.00023433848171361	0.0011204593738363	0	0.000863090010968141	0	0.00105078741098783	0.00328472383961871	0.000873082435083287	0	0	0
mix_2	0	0	0	0.000502580657768542	0	0	0	0	0	0	0	0	0.000977191168862171	0.000558245415261562	0.000154392196099443	0.00029919583937529	0	0.000495143983037085	0.000735258107874633	0	0	0	0	0	0	0	0	0	0	0.000932945470741866	0	0	0	0
mix_3	0	0.000157182801219865	0.000160514047139045	0	0.000144788335344073	0	0	0	0	0	0	0	0	0	0	0	8.65321543669971e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000165539477611722	0.000685676556564031	0.000193309897317323	0.00017840654850395
mix_4	0.000455468922997342	8.6479929392052e-05	8.19842158483443e-05	0	8.89108660900037e-05	0.000284491097776013	0.000164747959664617	0.00133131377464879	0	5.17579184020564e-05	0.000372222743877499	0	0	0.00144820310370194	0.000617318048055484	0	0.00029105101324954	0	0	0	0	0.000424822538678116	0	0.000771915424577112	0.00107505664417345	2.18687538873275e-06	0.000507745889837253	0.000452082210402367	0	0	0.00130067093607464	0	9.60533671950381e-05	9.59828150451984e-05
mix_5	0.000503469993172907	9.10663332778019e-05	8.94296491199272e-05	0	0.000123323800037312	0.000470373338783063	0.000388511102898493	0.001482809515537	0.000258422877629245	9.38318974658476e-05	0.000342048786873943	0	0	0.00148204434673257	0.000605789164305163	0	0.000372999934052328	0	0	0	0	0.000462352773344961	0	0.000834979363550503	0.00118432246762129	0	0.000447893406820178	0.000564532614108615	0	0	0.00140197468414471	0	0.000113608932463888	0.000118162241321053
mix_6	0.000844837954648134	3.47079295316526e-05	2.9526274218448e-05	1.8420332796999e-05	5.44002040603423e-05	0.000535276089801988	8.45347837682165e-05	0.000961458940042854	0.000447176542543352	0.000425972295125641	0.000380896255314025	0.000741102190993113	0	0.00144256167014284	0.00101427213763163	0.000665106931138104	0.000242090287517519	1.80778458135774e-05	0	1.31589262629293e-05	0.000439916797674421	0.000833842898953906	0.000444108669938955	0.000949818586334614	0.000913469809213553	0.000305821835553464	0.000808151723331578	0.00042616003004871	0.000926175081147612	0.00141013607885578	0.0013979158638285	0	4.31658218363686e-05	4.67269418072172e-05
mix_7	0	0.000147484267200796	0.000141736120609994	0	0.000121817295716312	0	0	0	0	0	9.19864753260482e-05	0	0	0	0	0	1.17728747880897e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000113329414495574	0.00041085652667774	0.000145181184174381	0.000140816933326824
mix_8	2.36488575930817e-05	2.29445220105338e-05	7.93495481113921e-06	0.000157111659270685	0	0	0	0	0	0	0	0	0	0.00104663704113703	0.000568286615519584	0	0	0.000196929825112347	3.14171713737162e-05	0	0	0	0	0	8.02857927386188e-05	0	0	0	0	0.00165710424840081	0.000513405703307031	0	0	0
mix_9	0.00120190312591455	8.18977408542191e-06	7.01869859881e-06	9.55380098411603e-05	8.03678712269354e-05	0.000843220538144066	0.00127279116742558	0.00124723216212613	0.000753265086579744	0.00104369653576258	0.000593041556702192	0.0012086509101792	0	0.00165993999895108	0.00119309920978727	0.00121268811654575	0.000525783423478146	0.000141593949231143	1.84620130903333e-05	0.00165621031807834	0.000928868144956445	0.00114954540744227	0.000783008175996623	0.00120235625655696	0.00146592801214445	0.00040622472398769	0.00120649066924425	0.000559254707206794	0.00152407515747291	0.00204928827107163	0.00162991492149633	0	3.84652134186498e-05	4.79916618399945e-05
mix_10	0	0.000139256758125625	0.0001305995891515	0	7.03616331988986e-05	0	0	0	0	0	6.25372341179779e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48417646067211e-05	0.000306461998921156	0.000120803572346607	0.000110679253621592
mix_11	0	0	0	0.000485699090448894	0	0	0	0	0	0	0	0	0.000355268600948751	0.000752810015159794	0.000356722369030266	0.000437771663171027	0	0.000473730228396959	0.000693909145031591	0	0	0	0	0	0	0	0	0	0	0.00145001780712961	0	0	0	0
mix_12	0.000662418853099431	0	0	0.0002811460461945	2.12305469816212e-05	0	0	1.88031903349796e-06	0	0	0	0	0	0.00126308499677489	0.00097166923035257	0.000869761469891797	0	0.000278106029977703	0.000322762998818856	0.000566580146962004	0	0.000524794630403354	0	0.000327168751544366	0.000740322929241494	0	0.000341700661408143	0	0.000662744498716942	0.00224238609689031	0.000940377933692365	0	0	0
mix_13	0	0.000152702232502125	0.000140254211936074	0	0.000112543688227741	0	0	0	0	0	4.49879354649476e-05	0	0	0	0	0	7.64847989981081e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000130904390564658	0.000262989416071261	0.000124827343653506	0.000125216720710418
mix_14	0	0.000147677091413285	0.00013625702055938	0	7.6735896337523e-05	0	0	0	0	0	5.82291243719363e-05	0	0	0	0	0	0.000103750977875916	0	0	0	0	0	0	0	0	0	0	0	0	0	5.045696743281e-05	0.000264541839257892	0.000121345338539698	0.000113139617329081
mix_15	0	0.000167194696860205	0.000164567853455571	0	0.000197501890645965	0	0	0	0.000265488452562784	0	0	0	0	0	0	0	0.000165511938472537	0	0	0.000569241443002606	0	0	0	0	0	0	0	0	0	0	0	0.000661595238050033	0.000175471356102204	0.000183185294082643
mix_16	0	0.000123576930989928	0.000123894704687841	0	0.000102364595845377	0	0	0	0	0	0.000205641363057557	0	0	0	0	0	0.000296952592361782	0	0	0	0	0	0	0	0	0	0	0	0	0	3.69306319054223e-05	0.000409237740194929	0.000143533299989745	0.000131966920442526
mix_17	0.00298616851677639	0.00024489525209933	0.000227616753741456	0	0.000110838516607267	0.0040321230958476	0.00253449286128245	0.000544175176985963	0.00179813789418185	0.00531679318255721	0.00507694440566839	0.00473535256504396	0	0.00127043371793878	0.00150839566278991	0	0.00399950319591782	0	0	0.00167989645752105	0.00560677336668646	0.00357180427289898	0.00459411845038762	0.00212873803901513	0.000181008137953164	0.00495863054142307	0.0027226529880716	0.00384071916171553	0.00135015102262292	0.00203584538764612	0.00380844521516597	0.00123231716894742	0.000201651014323438	0.000173174768500033
mix_18	0	0	0	0.000482192594465319	0	0	0	0	0	0	0	0	0.0025887619096113	0.000662966614244241	0.000275564990588202	0.000551908259347138	0	0.000553815947817344	0.000662584603114387	0	0	0	0	0	0	0	0	0	0	0.00186070655075055	0	0	0	0
